,Track,Artist,Release Date,Spotify Playlist Count 2023,Spotify Chart Counts 2023,Streams 2023,Apple Music Playlist Count 2023,Apple Music Chart Counts 2023,Deezer Playlist Count 2023,Deezer Chart Counts 2023,Shazam Chart Counts 2023,Bpm,Key,Mode,Danceability %,Valence %,Energy %,Acousticness %,Instrumentalness %,Liveness %,Speechiness %
0,Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",7/14/2023,553,147,141381703.0,43,263,45,10,826.0,125.0,B,Major,80.0,89.0,83.0,31.0,0.0,8.0,4.0
1,LALA,Myke Towers,3/23/2023,1474,48,133716286.0,48,126,58,14,382.0,92.0,C#,Major,71.0,61.0,74.0,7.0,0.0,10.0,4.0
2,vampire,Olivia Rodrigo,6/30/2023,1397,113,140003974.0,94,207,91,14,949.0,138.0,F,Major,51.0,32.0,53.0,17.0,0.0,31.0,6.0
3,Cruel Summer,Taylor Swift,8/23/2019,7858,100,800840817.0,116,207,125,12,548.0,170.0,A,Major,55.0,58.0,72.0,11.0,0.0,11.0,15.0
4,WHERE SHE GOES,Bad Bunny,5/18/2023,3133,50,303236322.0,84,133,87,15,425.0,144.0,A,Minor,65.0,23.0,80.0,14.0,63.0,11.0,6.0
5,Sprinter,"Dave, Central Cee",6/1/2023,2186,91,183706234.0,67,213,88,17,946.0,141.0,C#,Major,92.0,66.0,58.0,19.0,0.0,8.0,24.0
6,Ella Baila Sola,"Eslabon Armado, Peso Pluma",3/16/2023,3090,50,725980112.0,34,222,43,13,418.0,148.0,F,Minor,67.0,83.0,76.0,48.0,0.0,8.0,3.0
7,Columbia,Quevedo,7/7/2023,714,43,58149378.0,25,89,30,13,194.0,100.0,F,Major,67.0,26.0,71.0,37.0,0.0,11.0,4.0
8,fukumean,Gunna,5/15/2023,1096,83,95217315.0,60,210,48,11,953.0,130.0,C#,Minor,85.0,22.0,62.0,12.0,0.0,28.0,9.0
9,La Bebe - Remix,"Peso Pluma, Yng Lvcas",3/17/2023,2953,44,553634067.0,49,110,66,13,339.0,170.0,D,Minor,81.0,56.0,48.0,21.0,0.0,8.0,33.0
10,un x100to,"Bad Bunny, Grupo Frontera",4/17/2023,2876,40,505671438.0,41,205,54,12,251.0,83.0,F#,Minor,57.0,56.0,72.0,23.0,0.0,27.0,5.0
11,Super Shy,NewJeans,7/7/2023,422,55,58255150.0,37,202,21,5,168.0,150.0,F,Minor,78.0,52.0,82.0,18.0,0.0,15.0,7.0
12,Flowers,Miley Cyrus,1/12/2023,12211,115,1316855716.0,300,215,745,58,1021.0,118.0,,Major,71.0,65.0,68.0,6.0,0.0,3.0,7.0
13,Daylight,David Kushner,4/14/2023,3528,98,387570742.0,80,156,182,24,1281.0,130.0,D,Minor,51.0,32.0,43.0,83.0,0.0,9.0,3.0
14,As It Was,Harry Styles,3/31/2022,23575,130,2513188493.0,403,198,863,46,164.0,174.0,F#,Minor,52.0,66.0,73.0,34.0,0.0,31.0,6.0
15,Kill Bill,SZA,12/8/2022,8109,77,1163093654.0,183,162,161,12,187.0,89.0,G#,Major,64.0,43.0,73.0,5.0,17.0,16.0,4.0
16,Cupid - Twin Ver.,Fifty Fifty,2/24/2023,2942,77,496795686.0,91,212,78,6,0.0,120.0,B,Minor,78.0,76.0,59.0,43.0,0.0,34.0,3.0
17,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,7/13/2023,873,104,30546883.0,80,227,95,24,1173.0,78.0,,Major,44.0,14.0,9.0,96.0,0.0,10.0,3.0
18,Classy 101,"Feid, Young Miko",3/31/2023,2610,40,335222234.0,43,100,54,14,187.0,100.0,B,Major,86.0,67.0,66.0,14.0,0.0,12.0,16.0
19,Like Crazy,Jimin,3/24/2023,596,68,363369738.0,8,104,23,2,29.0,120.0,G,Major,63.0,36.0,73.0,0.0,0.0,36.0,4.0
20,LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",6/22/2023,332,26,86444842.0,11,163,10,4,0.0,140.0,F,Minor,65.0,87.0,74.0,22.0,0.0,42.0,4.0
21,I Can See You (Taylor���s Version) (From The ,Taylor Swift,7/7/2023,516,38,52135248.0,73,119,42,1,150.0,123.0,F#,Major,69.0,82.0,76.0,6.0,0.0,6.0,3.0
22,I Wanna Be Yours,Arctic Monkeys,1/1/2013,12859,110,1297026226.0,24,98,582,2,73.0,135.0,,Minor,48.0,44.0,42.0,12.0,2.0,11.0,3.0
23,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",5/31/2023,1313,40,200647221.0,17,152,32,11,139.0,133.0,F,Minor,85.0,81.0,67.0,26.0,0.0,12.0,5.0
24,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",6/2/2023,1945,87,115364561.0,74,182,87,14,1093.0,99.0,C#,Major,85.0,83.0,68.0,7.0,0.0,36.0,20.0
25,SABOR FRESA,Fuerza Regida,6/22/2023,250,26,78300654.0,16,149,10,5,168.0,130.0,G,Minor,79.0,96.0,86.0,9.0,0.0,9.0,9.0
26,Calm Down (with Selena Gomez),"R��ma, Selena G",3/25/2022,7112,77,899183384.0,202,119,318,38,96.0,107.0,B,Major,80.0,82.0,80.0,43.0,0.0,14.0,4.0
27,MOJABI GHOST,"Tainy, Bad Bunny",6/29/2023,859,40,61245289.0,35,109,41,14,211.0,122.0,F#,Minor,81.0,74.0,71.0,14.0,0.0,56.0,4.0
28,Last Night,Morgan Wallen,1/31/2023,2420,19,429829812.0,52,107,15,1,325.0,204.0,F#,Major,52.0,52.0,68.0,46.0,0.0,15.0,4.0
29,Dance The Night (From Barbie The Album),Dua Lipa,5/25/2023,2988,101,127408954.0,0,0,143,38,0.0,110.0,B,Minor,67.0,78.0,85.0,2.0,0.0,33.0,5.0
30,Rush,Troye Sivan,7/13/2023,864,78,22581161.0,71,135,50,1,294.0,126.0,F,Minor,74.0,35.0,84.0,0.0,0.0,11.0,6.0
31,TULUM,"Peso Pluma, Grupo Frontera",6/28/2023,266,34,52294266.0,20,185,13,8,197.0,168.0,F#,Major,56.0,63.0,87.0,39.0,0.0,11.0,5.0
32,Creepin',"The Weeknd, 21 Savage, Metro Boomin",12/2/2022,6036,88,843957510.0,113,149,245,23,27.0,98.0,C#,Minor,71.0,17.0,61.0,36.0,0.0,8.0,5.0
33,Anti-Hero,Taylor Swift,10/21/2022,9082,56,999748277.0,242,142,165,9,310.0,97.0,E,Major,64.0,51.0,63.0,12.0,0.0,19.0,5.0
34,TQG,"Karol G, Shakira",2/23/2023,4284,49,618990393.0,115,123,184,18,354.0,180.0,E,Minor,72.0,61.0,63.0,67.0,0.0,9.0,28.0
35,Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",6/1/2023,1150,31,123122413.0,22,33,34,7,184.0,120.0,,Major,81.0,63.0,68.0,11.0,0.0,11.0,4.0
36,Fr��gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",4/7/2023,672,34,188933502.0,19,108,24,9,212.0,150.0,F#,Major,61.0,39.0,73.0,37.0,0.0,11.0,3.0
37,Blank Space,Taylor Swift,1/1/2014,11434,53,1355959075.0,154,123,410,2,81.0,96.0,F,Major,75.0,57.0,68.0,9.0,0.0,13.0,6.0
38,Style,Taylor Swift,1/1/2014,7830,42,786181836.0,94,111,151,4,82.0,95.0,D,Major,60.0,48.0,79.0,0.0,0.0,12.0,4.0
39,TQM,Fuerza Regida,5/19/2023,584,28,176553476.0,16,159,15,6,100.0,125.0,F,Minor,79.0,96.0,85.0,27.0,0.0,11.0,6.0
40,El Azul,"Junior H, Peso Pluma",2/10/2023,692,25,354495408.0,10,107,6,3,62.0,144.0,A,Minor,56.0,84.0,65.0,23.0,0.0,10.0,6.0
41,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",10/9/2018,24094,78,2808096550.0,372,117,843,4,69.0,90.0,D,Major,76.0,91.0,50.0,54.0,0.0,7.0,5.0
42,I'm Good (Blue),"Bebe Rexha, David Guetta",8/26/2022,12482,80,1109433169.0,291,184,537,45,727.0,128.0,G,Minor,56.0,38.0,97.0,4.0,0.0,35.0,4.0
43,See You Again,"Tyler, The Creator, Kali Uchis",7/21/2017,13387,64,1047101291.0,77,58,247,1,311.0,79.0,F#,Major,56.0,58.0,56.0,37.0,0.0,11.0,10.0
44,Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",6/23/2023,1117,80,65156199.0,82,145,65,16,1133.0,144.0,,Major,77.0,75.0,58.0,52.0,0.0,23.0,25.0
45,Angels Like You,Miley Cyrus,11/27/2020,3372,19,570515054.0,65,48,138,1,102.0,122.0,F,Major,67.0,49.0,64.0,10.0,0.0,10.0,3.0
46,I Ain't Worried,OneRepublic,5/13/2022,8431,76,1085685420.0,241,127,458,37,332.0,140.0,,Major,71.0,82.0,81.0,11.0,0.0,6.0,5.0
47,Die For You,The Weeknd,11/24/2016,2483,59,1647990401.0,68,21,24,0,259.0,134.0,C#,Minor,59.0,51.0,52.0,9.0,0.0,15.0,7.0
48,Starboy,"The Weeknd, Daft Punk",9/21/2016,29536,79,2565529693.0,281,137,2445,1,140.0,186.0,G,Major,68.0,49.0,59.0,16.0,0.0,13.0,28.0
49,Die For You - Remix,"Ariana Grande, The Weeknd",2/24/2023,3408,47,518745108.0,87,86,74,1,16.0,67.0,C#,Minor,53.0,50.0,53.0,23.0,0.0,44.0,7.0
50,El Cielo,"Feid, Myke Towers, Sky Rompiendo",6/2/2023,1298,38,107753850.0,44,64,57,10,110.0,106.0,A#,Minor,72.0,17.0,64.0,7.0,0.0,10.0,5.0
51,Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",4/6/2023,4277,66,177740666.0,145,111,213,11,810.0,128.0,G,Major,60.0,23.0,91.0,0.0,0.0,12.0,3.0
52,AMARGURA,Karol G,2/24/2023,1133,39,153372011.0,14,71,23,10,176.0,107.0,F#,Minor,92.0,55.0,70.0,18.0,0.0,15.0,7.0
53,(It Goes Like) Nanana - Edit,Peggy Gou,6/15/2023,2259,59,57876440.0,0,0,109,17,0.0,130.0,G,Minor,67.0,96.0,88.0,12.0,19.0,8.0,4.0
54,Another Love,Tom Odell,10/15/2012,18371,83,1813673666.0,250,122,3394,19,102.5,123.0,E,Minor,45.0,13.0,54.0,70.0,0.0,9.0,4.0
55,Blinding Lights,The Weeknd,11/29/2019,43899,69,3703895074.0,672,199,3421,20,134.0,171.0,C#,Major,50.0,38.0,80.0,0.0,0.0,9.0,7.0
56,Moonlight,Kali Uchis,2/24/2023,2649,42,256483385.0,67,79,57,1,615.0,137.0,G,Minor,64.0,88.0,72.0,51.0,0.0,17.0,5.0
57,La Bachata,Manuel Turizo,5/26/2022,6804,45,1214083358.0,139,111,161,15,210.0,125.0,G,Minor,84.0,85.0,68.0,58.0,0.0,22.0,4.0
58,S91,Karol G,7/14/2023,525,41,16011326.0,34,115,39,6,216.0,128.0,,Minor,86.0,42.0,72.0,59.0,0.0,9.0,19.0
59,cardigan,Taylor Swift,7/24/2020,7923,29,812019557.0,106,112,142,4,215.0,130.0,,Minor,61.0,53.0,58.0,55.0,0.0,27.0,4.0
60,T�,"dennis, MC Kevin o Chris",5/4/2023,731,15,111947664.0,27,17,73,4,167.0,130.0,B,Major,86.0,59.0,96.0,50.0,1.0,9.0,5.0
61,Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2/3/2023,5184,41,156338624.0,154,84,102,14,37.0,133.0,F,Major,70.0,86.0,81.0,25.0,0.0,25.0,5.0
62,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",6/24/2022,3107,39,720434240.0,38,0,4,0,0.0,101.0,D,Major,88.0,72.0,59.0,62.0,0.0,9.0,3.0
63,BESO,"Rauw Alejandro, ROSAL�",3/24/2023,4053,50,357925728.0,82,121,182,12,171.0,95.0,F,Minor,77.0,53.0,64.0,74.0,0.0,17.0,14.0
64,Hey Mor,"Ozuna, Feid",10/6/2022,4637,38,674072710.0,63,79,89,11,16.0,98.0,C#,Minor,90.0,40.0,59.0,0.0,0.0,10.0,29.0
65,Yellow,Chris Molitor,1/1/1999,31358,43,1755214421.0,196,2,4053,5,0.0,173.0,B,Major,43.0,28.0,66.0,0.0,0.0,23.0,3.0
66,Karma,Taylor Swift,10/21/2022,3818,23,404562836.0,37,55,32,0,272.0,90.0,G#,Major,64.0,10.0,62.0,7.0,0.0,48.0,7.0
67,People,Libianca,12/2/2022,3506,56,373199958.0,105,64,169,8,529.0,198.0,A#,Minor,59.0,71.0,42.0,55.0,0.0,10.0,7.0
68,Overdrive,Post Malone,7/14/2023,410,36,14780425.0,36,32,31,1,26.0,140.0,C#,Major,56.0,48.0,73.0,0.0,0.0,35.0,4.0
69,Enchanted (Taylor's Version),Taylor Swift,7/7/2023,148,24,39578178.0,32,93,8,2,5.0,82.0,G#,Major,51.0,22.0,53.0,1.0,0.0,15.0,3.0
70,BABY HELLO,"Rauw Alejandro, Bizarrap",6/23/2023,1004,35,54266102.0,42,80,58,3,169.0,130.0,C#,Minor,77.0,84.0,89.0,17.0,0.0,43.0,5.0
71,Heat Waves,Glass Animals,6/28/2020,22543,63,2557975762.0,386,144,707,28,103.5,81.0,B,Major,76.0,53.0,53.0,44.0,0.0,9.0,9.0
72,golden hour,JVKE,7/15/2022,4511,36,751134527.0,70,58,109,18,230.0,94.0,C#,Minor,51.0,14.0,59.0,65.0,18.0,25.0,3.0
73,Sweater Weather,The Neighbourhood,5/14/2012,16413,61,2282771485.0,166,87,1056,1,74.0,124.0,A#,Major,61.0,41.0,81.0,5.0,2.0,10.0,3.0
74,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",7/6/2022,8506,45,1356565093.0,94,65,164,14,176.0,128.0,D,Major,62.0,55.0,78.0,1.0,3.0,23.0,4.0
75,Viva La Vida,Coldplay,1/1/2008,33898,62,1592909789.0,233,0,4095,9,0.0,138.0,F,Minor,49.0,42.0,62.0,9.0,0.0,11.0,3.0
76,Here With Me,d4vd,7/17/2022,3246,23,635412045.0,94,85,68,1,84.0,132.0,E,Major,58.0,27.0,48.0,50.0,0.0,12.0,3.0
77,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",9/22/2022,8576,42,1230675890.0,216,108,331,26,154.0,131.0,D,Major,71.0,24.0,47.0,1.0,0.0,27.0,9.0
78,Yandel 150,"Yandel, Feid",12/20/2022,3618,38,585695368.0,47,74,80,14,194.0,168.0,F#,Minor,78.0,58.0,73.0,5.0,0.0,10.0,7.0
79,CORAZ��N VA,Maria Becerra,6/22/2023,370,20,43857627.0,12,16,18,4,93.0,98.0,C#,Major,68.0,40.0,79.0,33.0,0.0,30.0,6.0
80,Riptide,Vance Joy,1/1/1975,31123,55,2009094673.0,300,65,1003,1,0.0,102.0,C#,Major,48.0,50.0,73.0,43.0,0.0,15.0,4.0
81,Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",4/22/2022,2790,30,600976848.0,60,96,71,0,115.0,101.0,A#,Major,34.0,32.0,57.0,78.0,0.0,20.0,3.0
82,Novidade na �,"Mc Livinho, DJ Matt D",6/23/2023,267,9,39709092.0,9,6,25,2,72.0,130.0,F,Major,63.0,36.0,34.0,76.0,0.0,35.0,9.0
83,Back To December (Taylor's Version),Taylor Swift,7/7/2023,139,17,39228929.0,16,72,5,0,8.0,142.0,D,Major,50.0,20.0,64.0,1.0,0.0,12.0,3.0
84,STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",7/9/2021,17050,36,2665343922.0,492,99,798,31,0.0,170.0,C#,Major,59.0,48.0,76.0,4.0,0.0,10.0,5.0
85,El Merengue,"Marshmello, Manuel Turizo",3/3/2023,2114,44,223633238.0,80,75,110,11,323.0,124.0,G#,Minor,78.0,70.0,68.0,3.0,1.0,11.0,4.0
86,Someone You Loved,Lewis Capaldi,11/8/2018,17836,53,2887241814.0,440,125,1800,0,89.0,110.0,C#,Major,50.0,45.0,41.0,75.0,0.0,11.0,3.0
87,Me Porto Bonito,"Chencho Corleone, Bad Bunny",5/6/2022,8870,43,1440757818.0,104,120,141,26,49.0,92.0,C#,Minor,91.0,43.0,71.0,9.0,0.0,9.0,8.0
88,Makeba,Jain,6/22/2015,6060,53,165484133.0,150,148,2703,22,1451.0,116.0,D,Major,82.0,40.0,66.0,39.0,51.0,25.0,7.0
89,MONTAGEM - FR PUNK,"Ayparia, unxbected",6/20/2012,641,50,58054811.0,1,52,8,0,1170.0,129.0,A,Major,63.0,84.0,82.0,70.0,8.0,9.0,7.0
90,Fast Car,Luke Combs,3/24/2023,1446,12,157058870.0,57,97,35,0,429.0,98.0,G#,Major,71.0,67.0,60.0,19.0,0.0,12.0,3.0
91,What It Is (Solo Version),Doechii,3/17/2023,804,25,95131998.0,29,76,24,0,162.0,172.0,C#,Minor,74.0,76.0,76.0,6.0,0.0,10.0,9.0
92,Coco Chanel,"Bad Bunny, Eladio Carrion",3/17/2023,1962,38,250305248.0,28,89,29,5,82.0,150.0,D,Major,68.0,14.0,76.0,4.0,0.0,10.0,4.0
93,Don���t Bl,Taylor Swift,11/8/2017,4875,23,685032533.0,19,45,0,0,10.0,136.0,A,Minor,62.0,19.0,53.0,11.0,0.0,6.0,4.0
94,Still With You,Jung Kook,6/5/2020,31,39,38411956.0,2,107,8,0,0.0,88.0,C#,Minor,53.0,34.0,47.0,9.0,0.0,83.0,4.0
95,All My Life (feat. J. Cole),"J. Cole, Lil Durk",5/12/2023,2175,23,144565150.0,69,145,69,2,478.0,143.0,D#,Major,83.0,69.0,44.0,15.0,0.0,10.0,33.0
96,Say Yes To Heaven,Lana Del Rey,3/17/2023,2000,46,127567540.0,49,105,63,1,0.0,100.0,F#,Minor,49.0,17.0,35.0,71.0,9.0,11.0,3.0
97,Snooze,SZA,12/9/2022,2839,25,399686758.0,58,156,42,1,236.0,143.0,F,Major,56.0,39.0,55.0,14.0,0.0,11.0,13.0
98,Summertime Sadness,Lana Del Rey,1/1/2011,20333,52,983637508.0,89,143,1632,3,200.0,112.0,C#,Minor,56.0,24.0,66.0,7.0,0.0,12.0,3.0
99,Take Two,BTS,6/9/2023,674,47,118482347.0,20,106,25,4,78.0,93.0,G,Major,62.0,57.0,59.0,3.0,0.0,38.0,3.0
100,Lover,Taylor Swift,1/1/2012,8448,23,882831184.0,160,110,163,0,5.0,206.0,G,Major,43.0,50.0,55.0,50.0,0.0,15.0,10.0
101,Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",12/2/2022,2110,58,286400165.0,17,119,19,2,266.0,88.0,G,Minor,68.0,17.0,71.0,15.0,0.0,11.0,5.0
102,Chemical,Post Malone,4/14/2023,2528,39,172825906.0,56,91,59,3,486.0,170.0,D,Major,50.0,37.0,90.0,0.0,0.0,12.0,5.0
103,Mockingbird,Eminem,1/1/2004,12985,61,1241559043.0,49,98,2394,5,204.0,84.0,E,Minor,62.0,24.0,67.0,21.0,0.0,13.0,28.0
104,New Jeans,NewJeans,7/7/2023,77,35,29562220.0,8,166,4,4,34.0,134.0,E,Minor,81.0,53.0,72.0,51.0,0.0,12.0,5.0
105,Primera Cita,Carin Leon,4/20/2022,266,27,77309611.0,6,40,6,6,202.0,158.0,A#,Major,54.0,50.0,40.0,61.0,0.0,10.0,6.0
106,Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",11/10/2017,21097,52,1605224506.0,384,135,1034,37,312.0,116.0,C#,Major,80.0,92.0,80.0,4.0,0.0,10.0,3.0
107,Dandelions,Ruth B.,4/28/2017,3423,21,1116995633.0,41,100,59,1,32.0,117.0,C#,Major,61.0,45.0,69.0,2.0,0.0,9.0,3.0
108,Bones,Imagine Dragons,3/11/2021,4198,44,838079900.0,98,108,327,17,153.0,114.0,F,Minor,77.0,65.0,72.0,2.0,0.0,7.0,5.0
109,Set Fire to the Rain,Adele,1/1/2011,14739,43,1163620694.0,88,112,2163,5,519.0,108.0,D,Minor,61.0,47.0,68.0,0.0,0.0,13.0,3.0
110,Money Trees,"Kendrick Lamar, Jay Rock",1/1/2012,26792,32,1093605526.0,69,113,695,0,458.0,144.0,E,Minor,74.0,37.0,53.0,7.0,0.0,21.0,10.0
111,Tak Segampang Itu,Anggi Marito,12/2/2022,213,6,179659294.0,7,6,0,0,48.0,130.0,F,Major,51.0,18.0,44.0,76.0,0.0,11.0,3.0
112,LAGUNAS,"Jasiel Nu��ez, Peso P",6/22/2023,58,18,39058561.0,2,106,4,2,184.0,116.0,B,Major,77.0,79.0,62.0,33.0,1.0,15.0,3.0
113,Mine (Taylor's Version),Taylor Swift,7/7/2023,99,15,36912123.0,21,52,6,1,0.0,121.0,G,Major,65.0,49.0,78.0,0.0,0.0,17.0,4.0
114,Everybody Wants To Rule The World,Tears For Fears,2/17/1985,41751,25,1205951614.0,101,32,2655,0,666.0,112.0,G,Major,64.0,54.0,81.0,36.0,0.0,11.0,6.0
115,No Role Modelz,J. Cole,12/9/2014,21164,36,1791000570.0,80,65,476,0,14.0,100.0,A#,Minor,70.0,47.0,52.0,30.0,0.0,6.0,33.0
116,Tattoo,Loreen,2/25/2023,2988,59,201660859.0,74,102,145,18,925.0,150.0,D#,Minor,55.0,30.0,78.0,24.0,0.0,12.0,8.0
117,Rara Vez,"Taiu, Milo j",2/8/2023,893,38,248088961.0,19,23,24,3,88.0,120.0,F,Minor,84.0,96.0,71.0,18.0,0.0,34.0,17.0
118,VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Be�",5/12/2023,1094,34,90839753.0,40,58,47,8,203.0,127.0,B,Minor,82.0,89.0,85.0,4.0,0.0,23.0,6.0
119,august,Taylor Swift,7/24/2020,7324,22,607123776.0,25,81,61,1,44.0,90.0,F,Major,51.0,42.0,61.0,53.0,0.0,9.0,3.0
120,LUNA,"Junior H, Peso Pluma",6/22/2023,201,11,55842345.0,19,117,8,1,74.0,128.0,A,Minor,75.0,79.0,63.0,33.0,0.0,15.0,4.0
121,Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",3/10/2023,5120,48,211050784.0,161,115,246,9,638.0,143.0,A,Major,64.0,31.0,87.0,4.0,4.0,8.0,4.0
122,Nonsense,Sabrina Carpenter,7/15/2022,2346,27,342897938.0,69,12,38,8,64.0,139.0,G#,Major,74.0,68.0,68.0,3.0,0.0,26.0,4.0
123,Que Vuelvas,"Carin Leon, Grupo Frontera",12/9/2022,763,26,2762.0,21,110,21,9,71.0,162.0,A#,Major,49.0,78.0,64.0,19.0,0.0,11.0,4.0
124,Por las Noches,Peso Pluma,6/11/2021,457,24,330346424.0,8,116,4,3,2.0,92.0,,Major,81.0,39.0,60.0,31.0,0.0,7.0,3.0
125,Feliz Cumplea��os Fe,Feid,8/19/2022,3430,38,601863821.0,45,69,52,4,3.0,95.0,F,Major,87.0,57.0,55.0,10.0,0.0,29.0,7.0
126,Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",8/16/2011,6074,52,1953533826.0,201,44,6551,2,0.0,146.0,D,Major,63.0,88.0,93.0,3.0,0.0,10.0,8.0
127,Watermelon Sugar,Harry Styles,11/17/2019,21915,34,2322580122.0,437,115,1212,12,74.5,95.0,,Major,55.0,56.0,82.0,12.0,0.0,34.0,5.0
128,lovely - Bonus Track,"Billie Eilish, Khalid",8/11/2017,15032,30,2355719893.0,221,96,1078,2,136.0,115.0,E,Minor,35.0,12.0,30.0,93.0,0.0,10.0,3.0
129,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",6/21/2023,871,32,66902503.0,25,59,32,5,88.0,128.0,B,Major,78.0,59.0,65.0,10.0,0.0,26.0,5.0
130,Queencard,(G)I-DLE,5/15/2023,451,33,96273746.0,10,126,7,0,148.0,130.0,E,Minor,82.0,69.0,83.0,3.0,0.0,27.0,5.0
131,OMG,NewJeans,1/2/2023,1783,27,430977451.0,26,124,15,1,22.0,127.0,A,Minor,80.0,74.0,77.0,36.0,0.0,11.0,4.0
132,Radio,Lana Del Rey,1/1/2011,9389,46,284819874.0,24,122,282,3,368.0,150.0,D,Major,42.0,20.0,86.0,21.0,0.0,9.0,9.0
133,"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",1/11/2023,5724,44,721975598.0,119,108,254,29,22.0,122.0,D,Minor,78.0,50.0,63.0,27.0,0.0,9.0,5.0
134,505,Arctic Monkeys,4/20/2007,13985,25,1217120710.0,30,80,588,1,1.0,140.0,,Major,52.0,20.0,85.0,0.0,0.0,7.0,5.0
135,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",6/2/2023,1051,16,109276132.0,31,37,31,0,189.0,140.0,,Major,63.0,22.0,54.0,46.0,0.0,12.0,8.0
136,Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",12/2/2022,1682,46,276259178.0,24,90,30,1,176.0,119.0,C#,Minor,75.0,48.0,53.0,18.0,0.0,18.0,34.0
137,"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5/22/2023,182,8,54225632.0,3,88,1,0,52.0,110.0,G,Minor,76.0,96.0,72.0,32.0,0.0,9.0,4.0
138,Perfect,Ed Sheeran,1/1/2017,16596,13,2559529074.0,7,0,2094,0,0.0,95.0,G#,Major,60.0,17.0,45.0,16.0,0.0,11.0,2.0
139,Romantic Homicide,d4vd,7/20/2022,2335,23,681583126.0,82,55,50,0,9.0,132.0,F#,Major,56.0,20.0,55.0,45.0,1.0,32.0,3.0
140,Believer,Imagine Dragons,1/31/2017,18986,23,2594040133.0,250,121,2969,10,31.0,125.0,A#,Minor,77.0,74.0,78.0,4.0,0.0,23.0,11.0
141,Novo Balan�,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",5/19/2023,283,7,81102253.0,6,9,26,1,66.0,124.0,D#,Minor,84.0,65.0,50.0,67.0,0.0,13.0,6.0
142,"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",6/1/2023,293,8,11956641.0,5,2,30,2,66.0,133.0,B,Minor,93.0,68.0,65.0,42.0,0.0,12.0,25.0
143,Without Me,Eminem,1/1/2002,21081,43,1687664027.0,98,76,3889,5,0.0,112.0,G,Major,92.0,67.0,66.0,0.0,0.0,36.0,9.0
144,QUEMA,"Sog, Ryan Castro, Peso Pluma",7/13/2023,437,31,11599388.0,17,29,26,3,208.0,97.0,,Major,79.0,92.0,89.0,5.0,0.0,6.0,5.0
145,Stargirl Interlude,"The Weeknd, Lana Del Rey",11/24/2016,1275,32,611700552.0,13,8,5,0,1.0,90.0,F,Minor,59.0,52.0,48.0,38.0,5.0,10.0,11.0
146,Ojitos Lindos,"Bomba Est��reo, Bad B",5/6/2022,6135,38,1133865788.0,71,113,99,13,28.0,80.0,D#,Minor,65.0,27.0,69.0,8.0,0.0,53.0,4.0
147,Somewhere Only We Know,Keane,1/1/2004,20015,16,1089402494.0,107,69,5239,0,558.0,172.0,A,Major,45.0,33.0,59.0,6.0,0.0,8.0,3.0
148,Those Eyes,New West,5/10/2019,1507,14,411747614.0,24,71,44,1,195.0,120.0,E,Major,60.0,24.0,35.0,73.0,0.0,31.0,3.0
149,El Gordo Trae El Mando,Chino Pacas,1/27/2023,539,21,255932395.0,7,71,4,2,13.0,140.0,G,Minor,74.0,96.0,80.0,18.0,0.0,5.0,5.0
